,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
0,146.424041741785,44.94441010848846,2.0,1.4142135623730951,3.3166247903554,1.0,1.0,1.0000022396391006,44.94441010848846,1.0002060924739267,1.0000318074710048
1,146.42745644174798,44.94441010848846,2.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0000031138814238,44.94441010848846,1.0002340485388188,1.0000359556992569
2,146.4308710620817,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000015768560846,44.94441010848846,1.00018486037095,1.0000292163964994
3,146.43428560279182,44.94441010848846,2.0,1.4142135623730951,3.0,1.0,1.0,1.0000012205465432,44.94441010848846,1.000173507055863,1.0000290514664347
4,146.43770006388382,44.94441010848846,2.0,1.4142135623730951,4.242640687119285,1.0,1.0,1.000001112791781,44.94441010848846,1.000170284368143,1.0000274756190835
5,146.44111444536333,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000017179643808,44.94441010848846,1.0001893289937283,1.0000305578149076
6,146.4445287472359,44.94441010848846,2.0,2.23606797749979,3.7416573867739413,1.0,1.0,1.0000028286055962,44.94441010848846,1.0002250468611964,1.000035059511513
7,146.4479429695071,44.94441010848846,2.0,1.4142135623730951,3.0,1.0,1.0,1.000001102807754,44.94441010848846,1.000169812628149,1.000027705076708
8,146.45135711218248,44.94441010848846,2.0,1.4142135623730951,2.23606797749979,1.0,1.0,1.000001681134821,44.94441010848846,1.000188436668109,1.0000298117874322
9,146.4547711752676,44.94441010848846,2.0,1.4142135623730951,2.6457513110645907,3.0,1.0,1.0000034223078724,44.94441010848846,1.0002441556261823,1.0000367379577815
10,146.4581851587681,44.94441010848846,2.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0000025135338844,44.94441010848846,1.00021479749474,1.0000341664724899
11,146.46159906268946,44.94441010848846,2.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0000014874786258,44.94441010848846,1.0001819566529841,1.0000283618666423
12,146.4650128870373,44.94441010848846,2.0,1.4142135623730951,2.23606797749979,1.0,1.0,1.0000019136861427,44.94441010848846,1.0001957843838416,1.0000307206179293
13,146.46842663181715,44.94441010848846,2.0,1.4142135623730951,1.0,3.0,1.0,1.0000031275664463,44.94441010848846,1.0002346776992879,1.0000367391215546
14,146.47184029703456,44.94441010848846,2.0,2.23606797749979,3.3166247903554,1.0,1.0,1.000002993633939,44.94441010848846,1.0002303335217841,1.0000351817965516
15,146.47525388269514,44.94441010848846,2.0,1.4142135623730951,3.3166247903554,1.0,1.0,1.0000012478885603,44.94441010848846,1.0001743924427993,1.0000284723439106
16,146.47866738880444,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000022115461173,44.94441010848846,1.0002054661615152,1.000033029753744
17,146.48549416239138,44.94441010848846,2.0,1.4142135623730951,1.0,1.0,1.0,1.000003256911875,44.94441010848846,1.0002389401934828,1.000037071800455
18,146.48890742988016,44.94441010848846,2.0,1.4142135623730951,1.0,1.0,1.0,1.0000026518650824,44.94441010848846,1.0002196334724376,1.000033786906628
19,146.4923206178399,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.000001233209422,44.94441010848846,1.0001740891684041,1.0000282585389866
20,146.49573372627614,44.94441010848846,2.0,1.4142135623730951,2.6457513110645907,7.0,1.0,1.0000014334180667,44.94441010848846,1.0001794970478275,1.0000283800713266
21,146.49914675519446,44.94441010848846,2.0,1.4142135623730951,1.0,7.0,1.0,1.0000054209462885,44.94441010848846,1.0003072010374026,1.0000474911464472
22,146.50255970460037,44.94441010848846,2.0,1.4142135623730951,3.0,7.0,1.0,1.0000033590561284,44.94441010848846,1.0002421803048551,1.0000374164097825
23,146.5059725744995,44.94441010848846,2.0,1.4142135623730951,3.1622776601683795,7.0,1.0,1.0000032074627652,44.94441010848846,1.0002374679321104,1.0000360835029838
24,146.50938536489735,44.94441010848846,2.0,1.4142135623730951,1.0,4.0,1.0,1.0000019905675892,44.94441010848846,1.0001982875810103,1.0000300129562263
25,146.5127980757995,44.94441010848846,2.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0000023908293403,44.94441010848846,1.0002109375141284,1.00003297455661
26,146.5162107072115,44.94441010848846,2.0,1.4142135623730951,2.0,2.0,1.0,1.0000024166523676,44.94441010848846,1.0002121659423147,1.0000325710925273
27,146.5196232591389,44.94441010848846,2.0,1.4142135623730951,2.23606797749979,1.0,1.0,1.000001120029682,44.94441010848846,1.0001709851085683,1.000027964641022
28,146.52303573158727,44.94441010848846,2.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0000022025495228,44.94441010848846,1.0002056267264965,1.0000313975038193
29,146.52644812456214,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.000002405734504,44.94441010848846,1.0002117809630944,1.0000335156589968
30,146.52986043806908,44.94441010848846,2.0,1.4142135623730951,4.242640687119285,2.0,1.0,1.0000024799984333,44.94441010848846,1.0002144176392866,1.0000353922486573
31,146.5332726721136,44.94441010848846,2.0,1.4142135623730951,1.0,1.0,1.0,1.0000026834796119,44.94441010848846,1.000220559307687,1.0000347142089787
32,146.53668482670133,44.94441010848846,2.0,1.4142135623730951,1.0,1.0,1.0,1.00000314412791,44.94441010848846,1.0002353399581807,1.0000358359307813
33,146.54009690183776,44.94441010848846,2.0,1.4142135623730951,2.23606797749979,1.0,1.0,1.0000015609830886,44.94441010848846,1.0001848831349665,1.0000301181128226
34,146.54350889752845,44.94441010848846,2.0,1.4142135623730951,2.23606797749979,1.0,1.0,1.0000011466088945,44.94441010848846,1.0001717862694506,1.0000286467292554
35,146.54692081377897,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000023480517974,44.94441010848846,1.0002097781400945,1.0000317120622864
36,146.55033265059484,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000021359687756,44.94441010848846,1.0002029765863794,1.0000317914244043
37,146.5537444079816,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,1.0,1.0,1.0000016383926407,44.94441010848846,1.0001871199361654,1.000030628462057
38,146.55715608594485,44.94441010848846,2.0,1.7320508075688772,3.7416573867739413,1.0,1.0,1.000001517355263,44.94441010848846,1.0001809950268932,1.000029033670864
39,146.56056768449008,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,7.0,1.0,1.0000044970697834,44.94441010848846,1.0002763396626917,1.0000422971340086
40,146.5639792036229,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,7.0,1.0,1.0000045417658765,44.94441010848846,1.0002778385856328,1.000042324831195
41,146.56739064334877,44.94441010848846,2.0,1.4142135623730951,3.7416573867739413,7.0,1.0,1.0000041995316824,44.94441010848846,1.0002668233020797,1.0000414808255236
